flower,plant_type,color,hardiness_zones,blooms_in,height,soil_needs,sun_needs,water_needs,maintenance,images
Echinacea (Coneflower),Perennials,"Echinacea flowers come in shades of white, yellow, orange, pink, purple, red and brown, depending on variety. The most common are the purple ones.",3-10,Summer,Coneflowers will grow between 30 cm (1 ft) and 120 cm (4 ft) tall.,"Echinacea likes medium moisture and well drained soil, with a pH between 6.0 and 7.0. In the wild, they usually grow in poor and rocky soil and can tolerate more alkaline conditions.","Full sun, Partial sun",low,low,"images/echinacea_0.jpg, images/echinacea_1.jpg, images/echinacea_2.jpg, images/echinacea_3.jpg, images/echinacea_4.jpg, images/echinacea_5.jpg, images/echinacea_6.jpg, images/echinacea_7.jpg, images/echinacea_8.jpg"
Echinops (Globe Thistle),Perennials,"Echinops flowers are mostly blue, but also you can find them in white, purple and blue-grey. Their long stems are gray-green in color.",3-9,Summer,"Echinops can grow from 50 cm to 1,5 metres (2 to 5 ft) in height.","Echinops grows best in well drained soil and prefers a soil of pH 5,5 to 7.","Full sun, Partial sun",avarage,low,"images/echinops_0.jpg, images/echinops_1.jpg, images/echinops_2.jpg, images/echinops_3.jpg, images/echinops_4.jpg, images/echinops_5.jpg, images/echinops_6.jpg, images/echinops_7.jpg"
Emilia (Tassel Flower),Annuals,"Emilia flowers come in shades of purple, red and orange.",3-10,"Autumn, Summer",Tassel Flower usually grows from 30 cm (1 ft) to 60 cm (2 ft). and possibly up to 90 cm (3 ft) tall.,"It is not fussy about soil pH, but the soil must be well drained. ",Full sun,avarage,low,"images/emilia_0.jpg, images/emilia_1.jpg, images/emilia_2.jpg, images/emilia_3.jpg, images/emilia_4.jpg, images/emilia_5.jpg, images/emilia_6.jpg"
Epimedium (Barrenwort; Bishop's hat; Horny Goat Weed),Perennials,"Epimedium flowers come in many stunning colors, including white, red, pink, purple, yellow and orange, as well as bi-colored varieties.",4-9,"Spring, Autumn, Winter, Summer",Epimedium can grow up to 60 cm (2 ft) in height.,"Epimedium prefers rich and moist soil, with a pH between 5.5 to 7.0. However, it will adapt to a wide range of conditions and survive in nearly any shady location.","Partial sun, Shade",avarage,low,"images/epimedium_0.jpg, images/epimedium_1.jpg, images/epimedium_2.jpg, images/epimedium_3.jpg, images/epimedium_4.jpg, images/epimedium_5.jpg, images/epimedium_6.jpg, images/epimedium_7.jpg, images/epimedium_8.jpg"
Epiphyllum (Orchid Cactus),Cactus - Succulents,"Epiphyllum flowers are usually white, sometimes with yellow or pink sepals. However, most Epiphyllums grown today are hybrids and may be red, purple, pink, orange and yellow.",10-12,"Spring, Summer",Epiphyllum can reach 10 m (30 ft) in height. ,"Epiphyllum prefers rich and well drained soil. For majority of plants, the ideal soil pH is slightly acidic with a pH range of 5.5 to 6.5.","Full sun, Partial sun",avarage,medium,"images/epiphyllum_0.jpg, images/epiphyllum_1.jpg, images/epiphyllum_2.jpg, images/epiphyllum_3.jpg, images/epiphyllum_4.jpg, images/epiphyllum_5.jpg, images/epiphyllum_6.jpg, images/epiphyllum_7.jpg, images/epiphyllum_8.jpg, images/epiphyllum_9.jpg, images/epiphyllum_10.jpg, images/epiphyllum_11.jpg, images/epiphyllum_12.jpg"
Eremurus (Foxtail Lily; Desert Candle),Perennials,"Flower clusters are covered with orange, pink, yellow and white blossoms.",5-9,"Spring, Summer","Foxtail Lilies are tall plants that reach 2,5 metres (8ft) or less in height, depending on the species.","Eremurus prefers well drained soil that is acid, alkaline or neutral.",Full sun,avarage,low,"images/eremurus_0.jpg, images/eremurus_1.jpg, images/eremurus_2.jpg, images/eremurus_3.jpg, images/eremurus_4.jpg"
Eryngium (Sea Holly),"Annuals, Perennials","Eryngium flowers are usually blue, purple, green or whitish.",3-9,"Autumn, Summer","They can range from 30 cm (1 ft) to 150 cm (5 ft) tall, depending on the species.","Sea Holly plants need good drainage and plenty of sun. They are not particular about soil pH and will tolerate poor and sandy soils. The plant has a long taproot, which makes it drought tolerant.",Full sun,low,low,"images/eryngium_0.jpg, images/eryngium_1.jpg, images/eryngium_2.jpg, images/eryngium_3.jpg, images/eryngium_4.jpg, images/eryngium_5.jpg, images/eryngium_6.jpg, images/eryngium_7.jpg, images/eryngium_8.jpg, images/eryngium_9.jpg, images/eryngium_10.jpg, images/eryngium_11.jpg, images/eryngium_12.jpg, images/eryngium_13.jpg"
Erysimum (Wallflower),"Annuals, Perennials, Shrubs","Erysimum usually come in yellow, but may also be red, orange and mauve.",6-10,"Spring, Autumn, Summer",Erysimum can grow up to 90 cm (3 ft) high.,"Erysimum prefers well drained soil, with a pH between 5.0 and 8.0.",Full sun,avarage,low,"images/erysimum_0.jpg, images/erysimum_1.jpg, images/erysimum_2.jpg, images/erysimum_3.jpg, images/erysimum_4.jpg, images/erysimum_5.jpg, images/erysimum_6.jpg"
Erythronium (Fawn Lily),"Bulbs, Perennials","Erythronium flowers come in shades of yellow, purple, pink, red and white.",3-9,Spring,Erythronium can grow up to 60 cm (2 ft) in height. ,"Erythronium grows best in moist and well drained soil. It is not fussy about soil pH, but is intolerant of dry conditions.",Partial sun,avarage,low,"images/erythronium_0.jpg, images/erythronium_1.jpg, images/erythronium_2.jpg, images/erythronium_3.jpg, images/erythronium_4.jpg, images/erythronium_5.jpg, images/erythronium_6.jpg, images/erythronium_7.jpg, images/erythronium_8.jpg, images/erythronium_9.jpg, images/erythronium_10.jpg, images/erythronium_11.jpg, images/erythronium_12.jpg"
Eschscholzia (Golden Poppy),"Annuals, Perennials",Their color ranges from yellow to orange.,6-10,"Spring, Autumn, Winter, Summer","The plants grow up to 30 cm (1 ft) tall, but some species have been known to grow taller.","In general, these plants grow in a range of soils, but prefer loamy or clay soils. They thrive in well-drained, poor soils with relatively little organic matter, preferring neutral to slightly alkaline soils.",Full sun,low,low,"images/eschscholzia_0.jpg, images/eschscholzia_1.jpg, images/eschscholzia_2.jpg, images/eschscholzia_3.jpg, images/eschscholzia_4.jpg, images/eschscholzia_5.jpg, images/eschscholzia_6.jpg, images/eschscholzia_7.jpg, images/eschscholzia_8.jpg, images/eschscholzia_9.jpg, images/eschscholzia_10.jpg, images/eschscholzia_11.jpg, images/eschscholzia_12.jpg, images/eschscholzia_13.jpg, images/eschscholzia_14.jpg"
Euphorbia (Spurge),"Annuals, Cactus - Succulents, Perennials, Shrubs, Trees",Euphorbia bloom beautifully in almost every color imaginable.,4-11,"Spring, Autumn, Winter, Summer","Spurges range in size from 30 cm to 20 metres (1 ft to 66 ft), depending on species.",Well drained.,"Full sun, Partial sun",low,low,"images/euphorbia_0.jpg, images/euphorbia_1.jpg, images/euphorbia_2.jpg, images/euphorbia_3.jpg, images/euphorbia_4.jpg"
Eustoma (Lisianthus; Prairie Gentian),"Annuals, Perennials","The flowers come in white, cream, blue, purple, pink and lilac.",8-11,"Autumn, Summer","Depending on the variety, Eustoma will grow from 15 cm (6 inches) to 80 cm (3 ft) in height.","The plant performs best in rich, moist and well drained soil, with a pH between 6.5 and 7.0.","Full sun, Partial sun",avarage,medium,"images/eustoma_0.jpg, images/eustoma_1.jpg, images/eustoma_2.jpg, images/eustoma_3.jpg, images/eustoma_4.jpg"
Felicia (Blue Daisy; Marguerite Daisy),"Annuals, Perennials, Shrubs","Felicia flowers are blue, white, lilac or purple. Most of them have yellow centers, with the exception of the Felicia heterophylla which is all-blue in color.",8-11,"Spring, Autumn, Summer",Felicia can grow up to 50 cm (20 inches) in height.,Felicia grows in almost any well drained soil. ,Full sun,avarage,low,"images/felicia_0.jpg, images/felicia_1.jpg, images/felicia_2.jpg, images/felicia_3.jpg, images/felicia_4.jpg"
Forsythia (Golden Bell),Shrubs,Forsythia flowers only come in one color - yellow.,4-9,Spring,"Forsythia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species.","The soil should be moist, but well drained and rich in organic matter. Forsythia grows in low-acidic, neutral and even moderately alkaline soils.","Full sun, Partial sun",avarage,low,"images/forsythia_0.jpg, images/forsythia_1.jpg, images/forsythia_2.jpg, images/forsythia_3.jpg, images/forsythia_4.jpg"
Freesia (Freesias),"Bulbs, Perennials","Freesia comes in white, yellow, orange, red, pink, mauve, lavender and purple colors.",9-10,"Spring, Autumn, Summer",Freesia can grow up to 40 cm (1 ft) tall.,"Moist, but well drained.","Full sun, Partial sun",avarage,low,images/freesia_0.jpg
Fritillaria (Checkered Lily; Snakes Head; Crown Imperial),"Bulbs, Perennials","Fritillaria come in variety of colors, from bright yellow to orange, green and deep red.",4-8,Spring,"Fritillaria can reach 30 cm to 1,5 metres (1-5 ft) in height, depending on variety.",The plant requires a well drained soil.,"Full sun, Partial sun",avarage,low,"images/fritillaria_0.jpg, images/fritillaria_1.jpg, images/fritillaria_2.jpg, images/fritillaria_3.jpg, images/fritillaria_4.jpg, images/fritillaria_5.jpg, images/fritillaria_6.jpg, images/fritillaria_7.jpg, images/fritillaria_8.jpg"
Fuchsia (Lady's eardrop),"Shrubs, Trees","Fuchsia develops white, yellow, orange, red and purple colored flowers, composed of red sepals and purple petals. ",6-11,"Autumn, Summer",Fuchsia can grow from 15 cm (6 inches) to 15 metres (50 ft) in height.,"Fuchsia prefers moist, but well drained soil, with a pH between 5.5 and 6.5.","Full sun, Partial sun",avarage,low,"images/fuchsia_0.jpg, images/fuchsia_1.jpg, images/fuchsia_2.jpg, images/fuchsia_3.jpg, images/fuchsia_4.jpg, images/fuchsia_5.jpg, images/fuchsia_6.jpg, images/fuchsia_7.jpg, images/fuchsia_8.jpg, images/fuchsia_9.jpg"
Gaillardia (Blanket Flower),"Annuals, Perennials","Gaillardia flowers come in various shades of red, orange, yellow, purple and brown. The bicolor blooms are pretty intense.",2-10,"Autumn, Summer",Plants belonging to the Gaillardia genus range in height from 15 cm (6 inches) to 90 cm (3 ft).,"Gaillardia plants grow best in moist and well drained soil, with a pH between 5.5 and 7.0. However, they will tolerate drought, heat, poor and sandy soils, but heavy clay soil will probably kill them.",Full sun,low,low,"images/gaillardia_0.jpg, images/gaillardia_1.jpg, images/gaillardia_2.jpg, images/gaillardia_3.jpg, images/gaillardia_4.jpg, images/gaillardia_5.jpg, images/gaillardia_6.jpg, images/gaillardia_7.jpg, images/gaillardia_8.jpg, images/gaillardia_9.jpg, images/gaillardia_10.jpg"
Galanthus (Snowdrops),"Bulbs, Perennials","Unlike many other flowers, Galanthus are one of the few flowers that only come in one color - creamy white.",3-9,"Spring, Winter",These tiny flowers grow up to 25 cm (10 inches) high.,Galanthus prefers moist and well drained soil of pH 6.0 to 8.0.,"Full sun, Partial sun",avarage,low,"images/galanthus_0.jpg, images/galanthus_1.jpg, images/galanthus_2.jpg, images/galanthus_3.jpg, images/galanthus_4.jpg, images/galanthus_5.jpg, images/galanthus_6.jpg"
Gardenia (Gardenia),"Shrubs, Trees",The most of them are white (or a related color like ivory or cream) and some of them are yellow.,6-11,"Spring, Summer",Gardenia can grow between 60 cm (2 ft) and 6 metres (20 ft) tall.,"Gardenia likes moist, but well drained soil. The ideal soil pH is between 5 and 6.","Full sun, Partial sun",avarage,hard,"images/gardenia_0.jpg, images/gardenia_1.jpg, images/gardenia_2.jpg, images/gardenia_3.jpg, images/gardenia_4.jpg, images/gardenia_5.jpg, images/gardenia_6.jpg, images/gardenia_7.jpg, images/gardenia_8.jpg"
Gazania (Treasure Flower),"Annuals, Perennials","Gazania flowers come in shades of yellow, orange, pink, red and white. The colors of the petals are bright and unique.",8-11,"Spring, Autumn, Winter",Gazania plants can grow up to 30 cm (1 ft) high.,"Gazania will grow best in well-drained soil in full sun, with a pH level between 5.5 and 7.0.",Full sun,low,low,"images/gazania_0.jpg, images/gazania_1.jpg, images/gazania_2.jpg, images/gazania_3.jpg, images/gazania_4.jpg, images/gazania_5.jpg, images/gazania_6.jpg, images/gazania_7.jpg, images/gazania_8.jpg, images/gazania_9.jpg, images/gazania_10.jpg, images/gazania_11.jpg"
Gentiana (Gentian),"Annuals, Perennials","Most of the species have beautiful, vivid blue flowers, but white, yellow, purple and red varieties are also available.",3-9,"Spring, Autumn, Summer",The plants range from dwarf species just 5 cm (2 inches) tall to the larger varieties that grow up to 90 cm (3 ft) in height.,"Gentiana will grow best in rich, moist and well drained soil, with a pH between 5.0 and 7.5.","Full sun, Partial sun",avarage,low,"images/gentiana_0.jpg, images/gentiana_1.jpg, images/gentiana_2.jpg, images/gentiana_3.jpg, images/gentiana_4.jpg, images/gentiana_5.jpg, images/gentiana_6.jpg, images/gentiana_7.jpg, images/gentiana_8.jpg, images/gentiana_9.jpg, images/gentiana_10.jpg, images/gentiana_11.jpg, images/gentiana_12.jpg"
Geranium (Cranesbills),"Annuals, Perennials","Geranium flowers come in shades of white, red, blue, purple and pink.",2-10,"Spring, Autumn, Summer",Geranium plants grow between 15-120 cm (6 inches to 4 ft) in height.,Geranium will grow in almost any kind of soil. The ideal soil pH should be mildly acidic.,"Full sun, Partial sun",avarage,low,"images/geranium_0.jpg, images/geranium_1.jpg, images/geranium_2.jpg, images/geranium_3.jpg, images/geranium_4.jpg"
Gerbera (African daisy; Transvaal daisy; Barberton daisy),Perennials,"Gerbera flowers come in many different colors (white, red, yellow, orange, pink and purple), except for blue.",8-11,"Spring, Autumn, Summer",The plants are 20-45 cm (8-18 inches) tall. Gerbera flower heads vary from 7 to 12 centimeters (3 to 5 inches) in diameter.,"Gerberas prefer rich and well drained soil, with lots of added organic matter. They grow best in a slightly acidic soil with a pH of 5.5 - 6.5.","Full sun, Partial sun",avarage,low,"images/gerbera_0.jpg, images/gerbera_1.jpg, images/gerbera_2.jpg, images/gerbera_3.jpg, images/gerbera_4.jpg, images/gerbera_5.jpg, images/gerbera_6.jpg, images/gerbera_7.jpg, images/gerbera_8.jpg, images/gerbera_9.jpg, images/gerbera_10.jpg"
Geum (Avens),Perennials,"Geum comes in various colors, including white, yellow, orange, pink and red. ",3-9,"Spring, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Geums prefer rich, moist and well drained soil, with a pH level between 5.5 and 7.0.","Full sun, Partial sun",avarage,low,"images/geum_0.jpg, images/geum_1.jpg, images/geum_2.jpg, images/geum_3.jpg, images/geum_4.jpg, images/geum_5.jpg, images/geum_6.jpg, images/geum_7.jpg"
Gladiolus (Gladiola; Sword lily),"Bulbs, Perennials","They come in beautiful colors, ranging from white, yellow, pink and lavender, to red, purple and even green.",2-10,"Spring, Autumn, Summer",Gladiolus can grow between 60 to 180 cm (2 to 6 ft) in height.,"Gladioli prefer moist and well drained soil, with a pH between 6.0 and 7.0.",Full sun,avarage,low,"images/gladiolus_0.jpg, images/gladiolus_1.jpg, images/gladiolus_2.jpg, images/gladiolus_3.jpg, images/gladiolus_4.jpg"
Grevillea (Spider Flower; Silky Oak),"Shrubs, Trees","Grevillea may be red, yellow, orange, purple and white.",9-11,"Spring, Autumn, Winter, Summer",Grevillea range from small shrubs around 50 cm (20 inches) high to large trees up to 35 metres (115 ft) tall. ,"Grevillea grows in all types of soil, but prefers well-drained soil.","Full sun, Partial sun",low,low,"images/grevillea_0.jpg, images/grevillea_1.jpg, images/grevillea_2.jpg, images/grevillea_3.jpg, images/grevillea_4.jpg"
Gypsophila (Baby's Breath),"Annuals, Perennials",These plants have small white or pink flowers.,3-9,"Spring, Summer",Gypsophila range in size from 15 cm (6 inches) to 1 m (30 ft) tall.,"Gypsophila prefer calcium-rich, alkaline soils.",Full sun,low,low,"images/gypsophila_0.jpg, images/gypsophila_1.jpg, images/gypsophila_2.jpg, images/gypsophila_3.jpg, images/gypsophila_4.jpg, images/gypsophila_5.jpg"
Hamamelis (Witch Hazel),"Shrubs, Trees",Hamamelis flowers range in color from deep red to yellow.,3-9,"Spring, Autumn, Winter","The plant grows between 150 cm (5 ft) and 8 m (26 ft) in height, depending on the species.","Hamamelis likes fertile, moist and well drained soil, with a ph between 4.5. and 7.0. It tolerates deep soils over chalk.","Full sun, Partial sun",avarage,low,"images/hamamelis_0.jpg, images/hamamelis_1.jpg, images/hamamelis_2.jpg, images/hamamelis_3.jpg, images/hamamelis_4.jpg, images/hamamelis_5.jpg, images/hamamelis_6.jpg, images/hamamelis_7.jpg"
Helenium (Sneezeweed),"Annuals, Perennials","Helenium flowers come in shades of yellow, orange, red and brown.",3-8,"Autumn, Summer",Helenium can grow up to 150 cm (5 ft) tall.,"Helenium likes moist and well drained soil, and will tolerate most pH levels. ",Full sun,avarage,medium,"images/helenium_0.jpg, images/helenium_1.jpg, images/helenium_2.jpg, images/helenium_3.jpg, images/helenium_4.jpg, images/helenium_5.jpg, images/helenium_6.jpg, images/helenium_7.jpg, images/helenium_8.jpg"
Helianthus (Sunflower),"Annuals, Perennials","Although yellow is the original color, Sunflowers come in shades of yellow, cream, red, orange and purple that contrast with deep brown centers.",3-9,"Autumn, Summer","Although there are some dwarf species that grow 30-60 cm (1-2 ft) tall, Sunflowers are usually tall plants which can grow up to 3 metres (10 ft) in height.","Sunflowers grow best in fertile, well drained soil, with a pH range between 6.0 and 7.5.",Full sun,avarage,low,"images/helianthus_0.jpg, images/helianthus_1.jpg, images/helianthus_2.jpg, images/helianthus_3.jpg, images/helianthus_4.jpg, images/helianthus_5.jpg, images/helianthus_6.jpg"
Heliconia (Lobster Claw; False Bird of Paradise),Perennials,"The colors of the flowers range in hues of red, orange, pink, yellow and green. ",9-11,"Spring, Autumn, Summer","Heliconias can vary in height from as small as 60 cm (2 ft) to 6 metres (20 ft), depending on species.",Heliconia prefers rich and well drained soil that stays consistently moist. The optimal pH range is between 5.0 and 7.0.,"Full sun, Partial sun",avarage,low,"images/heliconia_0.jpg, images/heliconia_1.jpg, images/heliconia_2.jpg, images/heliconia_3.jpg, images/heliconia_4.jpg, images/heliconia_5.jpg, images/heliconia_6.jpg, images/heliconia_7.jpg, images/heliconia_8.jpg"
Helleborus (Hellebore; Christmas Rose),Perennials,"Hellebores come in various colors, from purple to pink, green, yellow, white and even black.",4-9,"Spring, Winter","These plants range in size from 30 cm (1 ft) to 1,2 metres (4 ft) tall. ","Hellebores prefer rich, moist and well-drained soil. They are tolerant of most soil types, but avoid planting them in dry or waterlogged soil.","Partial sun, Shade",avarage,low,"images/helleborus_0.jpg, images/helleborus_1.jpg, images/helleborus_2.jpg, images/helleborus_3.jpg, images/helleborus_4.jpg"
Hibiscus (Rose mallow),"Annuals, Perennials, Shrubs, Trees","This plant comes in a variety of colors, from red, orange, pink and yellow to white, purple and blue.",4-11,"Autumn, Summer",It depends on variety. These beauties can reach heights up to 4 metres (13 ft).,"Hibiscus likes moist, but well drained soil, with a neutral to slightly acidic pH.","Full sun, Partial sun",avarage,low,"images/hibiscus_0.jpg, images/hibiscus_1.jpg, images/hibiscus_2.jpg, images/hibiscus_3.jpg, images/hibiscus_4.jpg, images/hibiscus_5.jpg, images/hibiscus_6.jpg, images/hibiscus_7.jpg, images/hibiscus_8.jpg, images/hibiscus_9.jpg, images/hibiscus_10.jpg, images/hibiscus_11.jpg, images/hibiscus_12.jpg, images/hibiscus_13.jpg, images/hibiscus_14.jpg"
Hippeastrum (Amaryllis),Bulbs,"Hippeastrum comes in red, pink, salmon, orange, white, yellow and pale green colors.",2-10,"Spring, Winter, Summer",Hippeastrum can grow from 30 cm to 90 cm (1 to 3 ft).,"Hippeastrum will grow in moist and well drained soil that is acidic, alkaline or neutral. ","Full sun, Partial sun",avarage,low,"images/hippeastrum_0.jpg, images/hippeastrum_1.jpg, images/hippeastrum_2.jpg, images/hippeastrum_3.jpg, images/hippeastrum_4.jpg"
Hosta (Plantain Lily),Perennials,"Hosta flowers are usually white, whitish with lavender lines, or purple.",3-9,"Spring, Autumn, Summer","Some varieties are short, while some varieties can grow up to 180 cm (6 ft) tall.","Hosta can tolerate just about any soil, but does best in rich, moist and well-drained soil.","Partial sun, Shade",avarage,low,"images/hosta_0.jpg, images/hosta_1.jpg, images/hosta_2.jpg, images/hosta_3.jpg, images/hosta_4.jpg, images/hosta_5.jpg, images/hosta_6.jpg, images/hosta_7.jpg, images/hosta_8.jpg, images/hosta_9.jpg, images/hosta_10.jpg"
Hoya (Wax Plant),"Climbers, Perennials, Shrubs","Hoya flowers are mostly white, but are also available in shades of pink, red, purple, orange and green.",8-12,"Spring, Autumn, Winter, Summer",Hoya plants range in size from 10 cm (4 inches) to 3 meters (10 ft) in height.,"The plant will grow best in moist and well drained soil, with a pH between 5.0 and 6.5.","Full sun, Partial sun",avarage,low,"images/hoya_0.jpg, images/hoya_1.jpg, images/hoya_2.jpg, images/hoya_3.jpg, images/hoya_4.jpg, images/hoya_5.jpg"
Hyacinthus (Hyacinth),Bulbs,"This plant comes in many color varieties, such as purple, blue, white, yellow, red, pink and orange.",4-8,Spring,Hyacinth can grow up to 30 cm (1 ft) in height.,These plants will perform well in moist and well drained soil that is neutral to slightly acidic.,"Full sun, Partial sun",avarage,low,"images/hyacinthus_0.jpg, images/hyacinthus_1.jpg, images/hyacinthus_2.jpg, images/hyacinthus_3.jpg, images/hyacinthus_4.jpg, images/hyacinthus_5.jpg, images/hyacinthus_6.jpg, images/hyacinthus_7.jpg"
Hydrangea (Hortensia),"Climbers, Shrubs, Trees","Hydrangea flowers come in shades of blue, purple, white, pink and red.",3-9,"Spring, Autumn, Summer","Hydrangea species range in size from 60 cm to 12 metres (2 ft to 40 ft) in height, depending on species.","Hydrangea grows best in moist, but well drained soil.",Partial sun,avarage,low,"images/hydrangea_0.jpg, images/hydrangea_1.jpg, images/hydrangea_2.jpg, images/hydrangea_3.jpg, images/hydrangea_4.jpg, images/hydrangea_5.jpg, images/hydrangea_6.jpg, images/hydrangea_7.jpg, images/hydrangea_8.jpg, images/hydrangea_9.jpg, images/hydrangea_10.jpg, images/hydrangea_11.jpg, images/hydrangea_12.jpg"
Hypericum (St. John’s Wort),"Annuals, Perennials, Shrubs, Trees",Hypericum flowers are generally yellow.,4-9,"Spring, Autumn, Summer","Hypericum can reach a height between 30 cm (1 ft) and 2 m (7 ft), depending on species.",Hypericum grows best in moist and well drained soil that has a pH between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low,"images/hypericum_0.jpg, images/hypericum_1.jpg, images/hypericum_2.jpg, images/hypericum_3.jpg, images/hypericum_4.jpg, images/hypericum_5.jpg, images/hypericum_6.jpg, images/hypericum_7.jpg, images/hypericum_8.jpg, images/hypericum_9.jpg, images/hypericum_10.jpg"
Hypoxis (Star Grass),Perennials,Hypoxis flowers are bright yellow in color.,5-10,"Spring, Summer",Hypoxis plants usually grow to a height of 20 cm (8 inches).,Hypoxis grows best in moist areas with full sun. Most species are not fussy about the soil pH.,"Full sun, Partial sun",low,low,"images/hypoxis_0.jpg, images/hypoxis_1.jpg, images/hypoxis_2.jpg, images/hypoxis_3.jpg, images/hypoxis_4.jpg, images/hypoxis_5.jpg, images/hypoxis_6.jpg, images/hypoxis_7.jpg, images/hypoxis_8.jpg, images/hypoxis_9.jpg, images/hypoxis_10.jpg"
Iberis (Candytuft),"Annuals, Perennials, Shrubs","Iberis flowers are usually white, but can also be pink or lilac.",3-9,"Spring, Summer",The plant can reach a height between 15 cm (6 inches) and 30cm (1 ft).,"Iberis likes rich, moist and well drained soil. Some species can grow in nutritionally poor soil.",Full sun,avarage,medium,"images/iberis_0.jpg, images/iberis_1.jpg, images/iberis_2.jpg, images/iberis_3.jpg, images/iberis_4.jpg, images/iberis_5.jpg, images/iberis_6.jpg, images/iberis_7.jpg, images/iberis_8.jpg, images/iberis_9.jpg, images/iberis_10.jpg, images/iberis_11.jpg"
Impatiens (Jewelweed; Touch-me-not; Busy Lizzy),"Annuals, Perennials","Impatiens come in variety of colors, including blue, purple, orange, red, pink, white and yellow.",8-12,"Spring, Autumn, Summer",Impatiens are short plants that usually dont grow larger than 30 cm (1 ft).,"They prefer rich, moist and well drained soil, with a pH between 6.0 and 7.5.","Partial sun, Shade",avarage,low,"images/impatiens_0.jpg, images/impatiens_1.jpg, images/impatiens_2.jpg, images/impatiens_3.jpg"
Ipomoea (Morning Glory; Kangkung),"Annuals, Climbers, Perennials, Shrubs, Trees","Ipomoea come in many colors, including white, red, blue, purple and yellow.",2-11,"Spring, Autumn, Summer","Ipomoea vary in size, ranging from 20 cm (8 inches) to 4,5 metres (15 ft) in height.",The plant is very adaptable and will grow in almost any type of soil that is well drained.,Full sun,avarage,low,"images/ipomoea_0.jpg, images/ipomoea_1.jpg, images/ipomoea_2.jpg, images/ipomoea_3.jpg, images/ipomoea_4.jpg, images/ipomoea_5.jpg"
Iris (Iris),Perennials,"Iris comes in a rainbow of colors, such as blue, purple, white, yellow, pink, orange, brown, red and black.",3-9,"Spring, Autumn, Winter, Summer","Irises are available in different sizes, which range from dwarf species (5 cm or 2 inches) to much larger varieties (130 cm or 4 ft).",Iris performs best in moist and well drained soil that is slightly acidic.,"Full sun, Partial sun",avarage,low,"images/iris_0.jpg, images/iris_1.jpg, images/iris_2.jpg, images/iris_3.jpg, images/iris_4.jpg, images/iris_5.jpg, images/iris_6.jpg, images/iris_7.jpg"
Ixora (Jungle Flame; Flame of the Woods),"Shrubs, Trees","Ixora comes in bright red, orange, pink, yellow and white colors. Red color is the most popular one.",9-11,"Spring, Summer",Ixora can grow up to 200 cm (7 ft) in height.,"Ixora likes moist, but well drained soil. It must be planted in rich, acidic soil because alkaline soil can result in yellow foliage.","Full sun, Partial sun",avarage,low,"images/ixora_0.jpg, images/ixora_1.jpg, images/ixora_2.jpg, images/ixora_3.jpg, images/ixora_4.jpg, images/ixora_5.jpg"
Jacaranda (Jacaranda),"Shrubs, Trees",Jacaranda flowers come in shades of purple and blue.,9-11,"Spring, Summer","Jacarandas can grow between 1 and 10 metres (3-32 ft) tall, depending on species.","Although Jacaranda tolerates a wide variety of soils, it grows best in sandy soil, with a slightly acidic pH range.","Full sun, Partial sun",avarage,low,"images/jacaranda_0.jpg, images/jacaranda_1.jpg, images/jacaranda_2.jpg, images/jacaranda_3.jpg, images/jacaranda_4.jpg, images/jacaranda_5.jpg, images/jacaranda_6.jpg, images/jacaranda_7.jpg, images/jacaranda_8.jpg"
Jasione (Jasione),"Annuals, Perennials","The flowers are blue or purple in color,",4-9 ,"Spring, Autumn, Summer",Jasione can grow up to 50 cm (2 ft) in height.,This plant needs to be in well drained soil.,"Full sun, Partial sun",avarage,low,"images/jasione_0.jpg, images/jasione_1.jpg, images/jasione_2.jpg, images/jasione_3.jpg, images/jasione_4.jpg, images/jasione_5.jpg, images/jasione_6.jpg, images/jasione_7.jpg, images/jasione_8.jpg"
Jasminum (Jasmine),"Climbers, Shrubs",Most of the Jasmine species bear white or pale yellow flowers.,6-11,"Spring, Summer","Growing approximately 30-60 cm (1-2 ft) per year, Jasmines can reach 150 cm (5 ft) tall as a shrub, and over 10 m (33 ft) long as a vine.","Jasmine likes fertile and moist, but well drained soil.","Full sun, Partial sun",low,low,"images/jasminum_0.jpg, images/jasminum_1.jpg, images/jasminum_2.jpg, images/jasminum_3.jpg, images/jasminum_4.jpg, images/jasminum_5.jpg"
Justicia (Jacobinia; Brazilian plume; Plume Flower),"Perennials, Shrubs","Justicia grow in shades of red, orange, pink, yellow, white and cream.",8-12,Summer,"The smaller types grow in mounds about 50 cm (2 ft) high, while others are more shrublike and grow up to 2,5 metres (8 ft) tall.","Justicia prefers well drained, acidic to neutral soil. ","Partial sun, Shade",avarage,low,"images/justicia_0.jpg, images/justicia_1.jpg, images/justicia_2.jpg, images/justicia_3.jpg, images/justicia_4.jpg"
